Date,Mean discharge (Observed),Q sat discharge
13-4-2011,300.1000061,
14-4-2011,339.8999939,
15-4-2011,360.2999878,
16-4-2011,359.8999939,
17-4-2011,362.2000122,
18-4-2011,354.6000061,
19-4-2011,325.7000122,
20-4-2011,320.6000061,
21-4-2011,355.7000122,
22-4-2011,355.2999878,
23-4-2011,350.2000122,
24-4-2011,365.6000061,
25-4-2011,360,
26-4-2011,337.8999939,
27-4-2011,329.5,
28-4-2011,338.2999878,
29-4-2011,360.7000122,
30-4-2011,368.7999878,
1-5-2011,367.1000061,
2-5-2011,337.1000061,
3-5-2011,306.3999939,
4-5-2011,289.3999939,
5-5-2011,321.6000061,
6-5-2011,347.7999878,
7-5-2011,369.1000061,
8-5-2011,347.6000061,
9-5-2011,305.1000061,
10-5-2011,300.1000061,
11-5-2011,319.3999939,
12-5-2011,322.1000061,
13-5-2011,319.2000122,
14-5-2011,322,
15-5-2011,332.7999878,
16-5-2011,330.6000061,
17-5-2011,294.1000061,
18-5-2011,301.1000061,
19-5-2011,348.2000122,
20-5-2011,376.2999878,
21-5-2011,425.2999878,
22-5-2011,468,
23-5-2011,498.8999939,
24-5-2011,473.8999939,
25-5-2011,464,
26-5-2011,462.7000122,
27-5-2011,467.2999878,
28-5-2011,472.8999939,
29-5-2011,475.6000061,
30-5-2011,483.8999939,
31-5-2011,470,
1-6-2011,431.2999878,
2-6-2011,440.2999878,
3-6-2011,437.2999878,
4-6-2011,409,
5-6-2011,395.8999939,
6-6-2011,390.5,
7-6-2011,341.2000122,
8-6-2011,328.6000061,
9-6-2011,342.2999878,
10-6-2011,328.6000061,
11-6-2011,328.8999939,
12-6-2011,342.7000122,
13-6-2011,363.1000061,
14-6-2011,338.3999939,
15-6-2011,332.2000122,
16-6-2011,367.3999939,
17-6-2011,421.2000122,
18-6-2011,460.1000061,
19-6-2011,475.1000061,
20-6-2011,406,
21-6-2011,329.1000061,
22-6-2011,393.2000122,
23-6-2011,458,
24-6-2011,418.6000061,
25-6-2011,457.3999939,
26-6-2011,489.6000061,
27-6-2011,462.6000061,
28-6-2011,378.1000061,
29-6-2011,444.3999939,
30-6-2011,445.8999939,
1-7-2011,409.2999878,
2-7-2011,398.7000122,
3-7-2011,417.8999939,
4-7-2011,417.7000122,
5-7-2011,373.7999878,
6-7-2011,383.7000122,
7-7-2011,425,
8-7-2011,434.5,
9-7-2011,405.6000061,
10-7-2011,398.3999939,
11-7-2011,380.6000061,
12-7-2011,327.8999939,
13-7-2011,364.3999939,
14-7-2011,556,
15-7-2011,561.5,
16-7-2011,569.7999878,
17-7-2011,613.5,
18-7-2011,563.4000244,
19-7-2011,484.3999939,
20-7-2011,510,
21-7-2011,516.9000244,
22-7-2011,501.1000061,
23-7-2011,500.6000061,
24-7-2011,511.3999939,
25-7-2011,476.2999878,
26-7-2011,429.6000061,
27-7-2011,462.1000061,
28-7-2011,484.3999939,
29-7-2011,663.9000244,
30-7-2011,811.7000122,
31-7-2011,727.5999756,
1-8-2011,644.2999878,
2-8-2011,629.5,
3-8-2011,656.4000244,
4-8-2011,760.9000244,
5-8-2011,725.7000122,
6-8-2011,652,
7-8-2011,566.2999878,
8-8-2011,520.2000122,
9-8-2011,555.4000244,
10-8-2011,619.7000122,
11-8-2011,587,
12-8-2011,584.2999878,
13-8-2011,559.0999756,
14-8-2011,535.9000244,
15-8-2011,488.5,
16-8-2011,420.7000122,
17-8-2011,513.9000244,
18-8-2011,737.5999756,
19-8-2011,984.2000122,
20-8-2011,916.2000122,
21-8-2011,778.5999756,
22-8-2011,1222,
23-8-2011,1900,
24-8-2011,2246,
25-8-2011,2555,
26-8-2011,2420,
27-8-2011,1923,
28-8-2011,1531,
29-8-2011,1378,
30-8-2011,1291,
31-8-2011,1246,
1-9-2011,1179,
2-9-2011,1170,
3-9-2011,1145,
4-9-2011,1030,
5-9-2011,934.9000244,
6-9-2011,851,
7-9-2011,775.7999878,
8-9-2011,746.2000122,
9-9-2011,733.2999878,
10-9-2011,703.0999756,
11-9-2011,647.5,
12-9-2011,612.7999878,
13-9-2011,591.9000244,
14-9-2011,569,
15-9-2011,528.2000122,
16-9-2011,504.2999878,
17-9-2011,493.5,
18-9-2011,471.5,
19-9-2011,448.8999939,
20-9-2011,438,
21-9-2011,437.6000061,
22-9-2011,455.6000061,
23-9-2011,502.8999939,
24-9-2011,491.5,
25-9-2011,474.2999878,
26-9-2011,449.1000061,
27-9-2011,459,
28-9-2011,461,
29-9-2011,482.3999939,
30-9-2011,365.8999939,
1-10-2011,507.3999939,
2-10-2011,514.2000122,
3-10-2011,471.5,
4-10-2011,404.2000122,
5-10-2011,390.5,
6-10-2011,432.5,
7-10-2011,448.1000061,
8-10-2011,423.2000122,
9-10-2011,386.2999878,
10-10-2011,435.1000061,
11-10-2011,318.8999939,
12-10-2011,411,
13-10-2011,376.7999878,
14-10-2011,365.8999939,
15-10-2011,372,
16-10-2011,340.1000061,
17-10-2011,328.3999939,
18-10-2011,281.1000061,
19-10-2011,309.6000061,
20-10-2011,335.5,
21-10-2011,314.2999878,
22-10-2011,301.3999939,
23-10-2011,307,
24-10-2011,301.7999878,
25-10-2011,248,
26-10-2011,243.6999969,
27-10-2011,293.1000061,
28-10-2011,284.1000061,
29-10-2011,269.2000122,
30-10-2011,264.2999878,
31-10-2011,223,
1-11-2011,199,
2-11-2011,199.3999939,
3-11-2011,218.1000061,
4-11-2011,230.6000061,
5-11-2011,230.6000061,
6-11-2011,217.3000031,
7-11-2011,177.1000061,
8-11-2011,148.8000031,
9-11-2011,146.6999969,
10-11-2011,145.8000031,
11-11-2011,159,
12-11-2011,170.3000031,
13-11-2011,176.6000061,
14-11-2011,175.8000031,
15-11-2011,173.3000031,
16-11-2011,136.6999969,
17-11-2011,127.4000015,
18-11-2011,145.1000061,
19-11-2011,151.3999939,
20-11-2011,154.3000031,
21-11-2011,166.1999969,
22-11-2011,168.8000031,
23-11-2011,153.6999969,
24-11-2011,138.1000061,
25-11-2011,141.8000031,
26-11-2011,149.8999939,
27-11-2011,148,
28-11-2011,138.8000031,
29-11-2011,127.4000015,
30-11-2011,114.0999985,
1-12-2011,120.8000031,
2-12-2011,133.3000031,
3-12-2011,134.1000061,
4-12-2011,136,
5-12-2011,132.6999969,
6-12-2011,123.5,
7-12-2011,120.5999985,
8-12-2011,115.0999985,
9-12-2011,125.1999969,
10-12-2011,144.6000061,
11-12-2011,163.6000061,
12-12-2011,167.6999969,
13-12-2011,159.8999939,
14-12-2011,145.3999939,
15-12-2011,135.5,
16-12-2011,138.6000061,
17-12-2011,164.6000061,
18-12-2011,157,
